epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.833,1.44053,2.38951,1.20908,0.78617,0.69305,0.77069,0.48384,1.20805,1.38419,1.03571,0.000174005,0.000174005,0.000174005
2,91.9365,1.28369,1.1468,1.12519,0.82032,0.72416,0.81396,0.53424,1.13907,1.26434,1.00551,0.00034588,0.00034588,0.00034588
3,136.996,1.25116,1.03868,1.08781,0.84566,0.71479,0.81647,0.54978,1.14196,1.04735,1.00314,0.000514283,0.000514283,0.000514283
4,182.003,1.19293,0.95679,1.07545,0.8569,0.70702,0.81982,0.55385,1.08606,0.99829,0.99422,0.000510378,0.000510378,0.000510378
5,227.46,1.17049,0.9142,1.06349,0.87858,0.73198,0.84407,0.56609,1.0842,0.93871,0.98427,0.00050517,0.00050517,0.00050517
6,272.665,1.16166,0.87027,1.05402,0.84236,0.75619,0.84935,0.57818,1.06877,0.80514,0.97525,0.000499963,0.000499963,0.000499963
7,317.658,1.14559,0.8417,1.05421,0.85722,0.76645,0.86068,0.58552,1.05677,0.76297,0.97239,0.000494756,0.000494756,0.000494756
8,362.402,1.13075,0.83116,1.04135,0.86542,0.76783,0.86368,0.58974,1.03827,0.81701,0.97744,0.000489548,0.000489548,0.000489548
9,406.818,1.11843,0.80337,1.0407,0.85533,0.76965,0.85777,0.58684,1.01652,0.75991,0.96716,0.000484341,0.000484341,0.000484341
10,451.203,1.10677,0.77939,1.03272,0.90446,0.72222,0.84744,0.58448,1.06186,0.72799,0.97307,0.000479133,0.000479133,0.000479133
11,495.46,1.11376,0.78794,1.03448,0.8825,0.75705,0.86787,0.60631,1.00721,0.71736,0.95879,0.000473926,0.000473926,0.000473926
12,539.972,1.09115,0.76442,1.0247,0.87951,0.77471,0.86966,0.59383,1.00868,0.96686,0.96763,0.000468719,0.000468719,0.000468719
13,585.203,1.10035,0.75742,1.03065,0.87971,0.78024,0.87684,0.61173,0.99384,0.69053,0.96018,0.000463511,0.000463511,0.000463511
14,629.521,1.08013,0.73737,1.02139,0.86865,0.78165,0.87736,0.6144,1.01379,0.68256,0.95506,0.000458304,0.000458304,0.000458304
15,673.649,1.09142,0.74693,1.02428,0.87927,0.77363,0.87526,0.60788,1.02766,0.69947,0.96192,0.000453096,0.000453096,0.000453096
16,717.645,1.0774,0.72703,1.02217,0.87696,0.77474,0.87574,0.6135,1.00005,0.67944,0.95302,0.000447889,0.000447889,0.000447889
17,762.145,1.06989,0.72179,1.01946,0.87887,0.7761,0.87862,0.61929,1.01233,0.65414,0.95249,0.000442682,0.000442682,0.000442682
18,806.529,1.06316,0.70747,1.01373,0.88122,0.76147,0.8723,0.60983,1.00422,0.81053,0.95787,0.000437474,0.000437474,0.000437474
19,850.912,1.05146,0.69265,1.00938,0.88264,0.78883,0.88324,0.61848,1.02598,0.63346,0.95614,0.000432267,0.000432267,0.000432267
20,895.452,1.06733,0.70793,1.01907,0.87528,0.76233,0.86824,0.61722,0.98279,0.65056,0.96243,0.000427059,0.000427059,0.000427059
21,940.653,1.03793,0.69134,1.01108,0.86157,0.79821,0.88273,0.61965,0.98161,0.64109,0.95237,0.000421852,0.000421852,0.000421852
22,985.402,1.04825,0.69606,1.01343,0.88544,0.77114,0.87983,0.61597,0.98064,0.64551,0.95166,0.000416645,0.000416645,0.000416645
23,1029.88,1.02474,0.67788,1.00209,0.87868,0.77722,0.87936,0.61961,1.00302,0.63469,0.95018,0.000411437,0.000411437,0.000411437
24,1074.23,1.04496,0.68668,1.0109,0.89262,0.76047,0.87587,0.62056,0.96481,0.61666,0.95335,0.00040623,0.00040623,0.00040623
25,1118.76,1.03945,0.67731,1.00203,0.87423,0.79925,0.88633,0.62475,0.9547,0.61879,0.95296,0.000401022,0.000401022,0.000401022
