epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,172.523,1.26407,1.95545,1.15257,0.49888,0.39547,0.4151,0.23491,1.37283,2.14218,1.15382,0.00999265,0.00333088,0.00999265,0.00333088,0.00999265,0.00333088,0.00999265,0.00333088
2,334.897,1.25379,1.23077,1.13281,0.70598,0.43454,0.46108,0.26375,1.41326,1.54825,1.17618,0.0197947,0.00659824,0.0197947,0.00659824,0.0197947,0.00659824,0.0197947,0.00659824
3,492.252,1.31114,1.19403,1.16663,0.75186,0.35726,0.39807,0.22602,1.47521,1.69097,1.20981,0.0293988,0.0097996,0.0293988,0.0097996,0.0293988,0.0097996,0.0293988,0.0097996
4,638.419,1.32105,1.16784,1.17917,0.71067,0.45503,0.48345,0.27517,1.39468,1.28906,1.17121,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,778.692,1.26231,1.04505,1.14796,0.78322,0.47044,0.5343,0.31232,1.35218,1.20431,1.14557,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,922.252,1.22338,0.99232,1.1299,0.80621,0.5089,0.56921,0.33993,1.30298,1.08248,1.12049,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1069.66,1.18537,0.93526,1.11014,0.78801,0.5412,0.58072,0.34578,1.28343,1.08433,1.10911,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1215.19,1.17043,0.90429,1.0992,0.81843,0.545,0.60412,0.35251,1.27901,0.99346,1.10841,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1354.89,1.15444,0.87957,1.09277,0.8331,0.56598,0.62186,0.37477,1.2453,0.94895,1.09152,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1494.84,1.13095,0.84719,1.08306,0.84725,0.57561,0.64369,0.38109,1.23808,0.93888,1.08363,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1635.11,1.11933,0.83455,1.0776,0.86228,0.57258,0.63946,0.3842,1.22071,0.9055,1.0788,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1775.56,1.11257,0.81413,1.07148,0.86973,0.58577,0.6581,0.39565,1.23011,0.88995,1.07266,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1915.43,1.10477,0.81013,1.06839,0.88973,0.58742,0.6764,0.40426,1.20885,0.86165,1.06764,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
