epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,160.466,1.26835,1.98422,1.15003,0.72227,0.41796,0.44126,0.26102,1.31767,1.87088,1.11445,0.00999275,0.00333092,0.00999275,0.00333092,0.00999275,0.00333092,0.00999275,0.00333092
2,307.211,1.261,1.24867,1.13064,0.7488,0.40633,0.43535,0.25381,1.36591,1.47985,1.15779,0.0197948,0.00659828,0.0197948,0.00659828,0.0197948,0.00659828,0.0197948,0.00659828
3,463.092,1.32625,1.22625,1.16941,0.66857,0.37658,0.39784,0.23591,1.45872,2.08447,1.2103,0.0293989,0.00979963,0.0293989,0.00979963,0.0293989,0.00979963,0.0293989,0.00979963
4,612.872,1.32079,1.17899,1.18065,0.65527,0.46425,0.50239,0.29084,1.35811,1.28823,1.15663,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,764.309,1.26157,1.0638,1.14995,0.68291,0.4814,0.54096,0.31531,1.32333,1.17649,1.13767,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,915.64,1.23334,1.01922,1.13249,0.80578,0.483,0.55823,0.3297,1.29405,1.12878,1.11985,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1068.63,1.19942,0.963,1.11695,0.81544,0.53053,0.59396,0.35474,1.24903,1.00578,1.09993,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1214.45,1.17059,0.92279,1.10124,0.63387,0.55245,0.60752,0.36397,1.23099,1.04819,1.08742,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1360.07,1.16103,0.90242,1.09618,0.84782,0.53976,0.63181,0.38355,1.21448,0.94891,1.07287,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1505.26,1.1457,0.87651,1.08898,0.71607,0.58657,0.63177,0.3833,1.19634,0.94495,1.07105,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1651.63,1.1303,0.86228,1.07925,0.76784,0.57178,0.63992,0.38635,1.19269,0.93432,1.06427,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1796.6,1.10665,0.82983,1.07033,0.87447,0.57737,0.65877,0.39993,1.18235,0.86034,1.05781,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1941.79,1.10316,0.82487,1.06739,0.74234,0.60602,0.65835,0.40761,1.16849,0.87202,1.05083,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2087.2,1.09271,0.81053,1.0608,0.77135,0.59703,0.6703,0.41064,1.16361,0.84636,1.0469,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2233.23,1.08918,0.80766,1.06022,0.88575,0.58803,0.67485,0.41518,1.16249,0.85213,1.0496,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2378.48,1.08068,0.79415,1.05643,0.88286,0.59354,0.68485,0.42567,1.15098,0.8185,1.04066,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2525.79,1.07974,0.78933,1.05402,0.75733,0.65606,0.68915,0.42922,1.14384,0.80847,1.04054,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2670.4,1.0714,0.77604,1.0508,0.90079,0.60593,0.69804,0.43291,1.13828,0.78785,1.03381,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2816.06,1.06332,0.76804,1.04572,0.89814,0.60902,0.69509,0.43582,1.1303,0.7856,1.03105,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2964.14,1.06213,0.76185,1.04441,0.78059,0.61942,0.69405,0.43244,1.12343,0.77593,1.02859,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3110.47,1.05305,0.75386,1.04151,0.79318,0.64938,0.70598,0.44234,1.11815,0.76688,1.02559,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
